R0 (?),rho_c ,Power (mW),Voltage (mV),Efficiency,rho_c ,Power (mW),Efficiency,Voltage (mV),,,
4.97E-05,1.00E-08,0.0051543,5.06E-03,0.0041234,1.00E-07,0.0013638,0.0010911,2.60E-04,,,
1.57E-04,1.00E-08,0.015573,1.54E-03,0.012459,1.00E-07,0.0041296,0.0033037,8.05E-04,,,
4.97E-04,1.00E-08,0.042905,4.62E-03,0.034324,1.00E-07,0.011451,0.0091607,2.39E-03,,,
0.0015704,1.00E-08,0.092508,1.20E-02,0.074006,1.00E-07,0.025099,0.020079,6.28E-03,,,
0.0049661,1.00E-08,0.12125,2.45E-02,0.097003,1.00E-07,0.033918,0.027135,1.30E-02,,,
0.015704,1.00E-08,0.084671,3.64E-02,0.067737,1.00E-07,0.024442,0.019554,1.96E-02,,,
0.049661,1.00E-08,0.037374,4.30E-02,0.029899,1.00E-07,0.010984,0.0087873,2.34E-02,,,
0.15704,1.00E-08,0.013301,4.50E-02,0.010641,1.00E-07,0.0039373,0.0031499,2.49E-02,,,
0.49661,1.00E-08,0.004373,4.66E-02,0.0034984,1.00E-07,0.0012976,0.0010381,2.54E-02,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
